antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'总三碘甲状腺原氨酸_Low', '糖化血红蛋白_High'})","frozenset({'Dept_内分泌代谢科', '葡萄糖_High'})",0.0810727496917386,0.6442663378545006,0.06627620221948212,0.8174904942965779,1.268870413156985,1.0,0.0140437586757911,1.949124023838882,0.23059220021375684,0.10056127221702527,0.48694901516299727,0.4601806538468536
"frozenset({'肌酐_Low', 'Dept_内分泌代谢科'})",frozenset({'糖化血红蛋白_High'}),0.09926017262638717,0.5900123304562269,0.07429099876695437,0.7484472049689441,1.2685280736255249,1.0,0.015726272994172293,1.6298275258406782,0.23501211300166702,0.1208020050125313,0.3864381450520712,0.43718076026921604
"frozenset({'高密度脂蛋白_Low', '骨钙素(N-MID)_Low', '葡萄糖_High'})","frozenset({'Dept_内分泌代谢科', '糖化血红蛋白_High'})",0.2222564734895191,0.563193588162762,0.15875462392108508,0.7142857142857143,1.268277425912894,1.0,0.03358120312412102,1.528822441430333,0.27197780420134765,0.25332021642892283,0.34590180461740105,0.49808429118773945
"frozenset({'总三碘甲状腺原氨酸_Low', '糖化血红蛋白_High'})",frozenset({'葡萄糖_High'}),0.0810727496917386,0.6775585696670777,0.06966707768187423,0.8593155893536122,1.268252853440909,1.0,0.014735541361762812,2.291948545339421,0.2301745865407165,0.10111856823266219,0.5636900304618717,0.48106816774323014
"frozenset({'低密度脂蛋白_High', '氯_High', '糖化血红蛋白_High'})","frozenset({'高密度脂蛋白_Low', 'Dept_内分泌代谢科', '葡萄糖_High'})",0.13840937114673244,0.4744143033292232,0.08323057953144267,0.6013363028953229,1.2675340913531044,1.0,0.01756719414462972,1.3183685910903842,0.2449731663685153,0.15715948777648428,0.24148678392517745,0.3883874496932755
"frozenset({'总三碘甲状腺原氨酸_Low', '骨钙素(N-MID)_Low'})",frozenset({'葡萄糖_High'}),0.06103575832305795,0.6775585696670777,0.05240443896424168,0.8585858585858587,1.2671758531631143,1.0,0.011049137856325095,2.2801215430685233,0.2245490711057896,0.07637017070979334,0.5614268883867356,0.4679644488561686
"frozenset({'总胆固醇_High', '骨钙素(N-MID)_Low', 'Dept_内分泌代谢科', '糖化血红蛋白_High'})",frozenset({'葡萄糖_High'}),0.06103575832305795,0.6775585696670777,0.05240443896424168,0.8585858585858587,1.2671758531631143,1.0,0.011049137856325095,2.2801215430685233,0.2245490711057896,0.07637017070979334,0.5614268883867356,0.4679644488561686
"frozenset({'高密度脂蛋白_Low', '氯_High', 'Dept_内分泌代谢科', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.27311960542540076,0.5900123304562269,0.20406905055487054,0.7471783295711061,1.2663774823033793,1.0,0.04292511566454468,1.6216476572133167,0.2893819074488339,0.3096351730589336,0.38334323393132935,0.5465254239287087
"frozenset({'总三碘甲状腺原氨酸_Low', '骨钙素(N-MID)_Low', 'Dept_内分泌代谢科'})",frozenset({'葡萄糖_High'}),0.058569667077681874,0.6775585696670777,0.05024660912453761,0.8578947368421053,1.2661558354484939,1.0,0.010562229273506543,2.269032287527972,0.22328556333642682,0.07325842696629213,0.5592834859615577,0.4660265312963938
"frozenset({'低密度脂蛋白_High', '氯_High', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.14734895191122072,0.5900123304562269,0.11004932182490752,0.7468619246861925,1.2658412140449364,1.0,0.023111623317485674,1.6196207110902774,0.24630416157786317,0.17542997542997546,0.3825714914902319,0.46669115043087056
"frozenset({'高密度脂蛋白_Low', '骨钙素(N-MID)_Low', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.2222564734895191,0.5900123304562269,0.1658446362515413,0.7461858529819695,1.2646953537479149,1.0,0.03471057636900751,1.6153066106068874,0.269106377461186,0.2565569861707201,0.3809224865214353,0.5136362911722805
"frozenset({'低密度脂蛋白_High', '骨钙素(N-MID)_Low'})","frozenset({'葡萄糖_High', '糖化血红蛋白_High'})",0.13501849568434032,0.469482120838471,0.08014796547472257,0.593607305936073,1.2643874592623907,1.0,0.016759195768418528,1.305431635240167,0.2417429683644937,0.1528512639623751,0.23396984337979132,0.3821614993239131
"frozenset({'低密度脂蛋白_High', '氯_High', 'Dept_内分泌代谢科', '糖化血红蛋白_High'})","frozenset({'高密度脂蛋白_Low', '葡萄糖_High'})",0.13224414303329224,0.4978421701602959,0.08323057953144267,0.6293706293706294,1.2641971032063912,1.0,0.017393868372759885,1.3548786729637297,0.24083283994474058,0.15219842164599776,0.26192653264476473,0.39827664595466455
"frozenset({'钾_Low', '糖化血红蛋白_High'})","frozenset({'氯_High', 'Dept_内分泌代谢科'})",0.09032059186189889,0.5403822441430333,0.06165228113440197,0.68259385665529,1.2631685516199436,1.0,0.012844637011742065,1.448043037269798,0.2290257539817012,0.10834236186348864,0.3094127907375996,0.39834199392947045
"frozenset({'高密度脂蛋白_Low', '钾_Low'})","frozenset({'葡萄糖_High', '糖化血红蛋白_High'})",0.11344019728729964,0.469482120838471,0.06720098643649815,0.592391304347826,1.2617973678951726,1.0,0.01394284202572215,1.3015371968762846,0.23402789297061408,0.13030484160191272,0.23167774044412998,0.3677649233492249
"frozenset({'高密度脂蛋白_Low', '骨钙素(N-MID)_Low', 'Dept_内分泌代谢科', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.21331689272503082,0.5900123304562269,0.15875462392108508,0.7442196531791908,1.2613628813549085,1.0,0.032895026918708686,1.6028896458999493,0.2633928843168883,0.2462936394069823,0.376126733017515,0.5066448318142558
"frozenset({'总胆固醇_High', '骨钙素(N-MID)_Low', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.07583230579531443,0.5900123304562269,0.056411837237977804,0.7439024390243902,1.2608252414812549,1.0,0.011669841771815098,1.6009042334566377,0.22384321788296016,0.09256449165402124,0.37535301668806154,0.41975686214542396
"frozenset({'骨钙素(N-MID)_Low', '氯_High', '葡萄糖_High'})","frozenset({'Dept_内分泌代谢科', '糖化血红蛋白_High'})",0.156288532675709,0.563193588162762,0.11097410604192355,0.7100591715976332,1.2607728257595634,1.0,0.022953406535597923,1.506536400010066,0.24514979905005482,0.18237082066869303,0.33622579580996625,0.4535517532865013
"frozenset({'Dept_内分泌代谢科', '低密度脂蛋白_High', '氯_High', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.1405672009864365,0.5900123304562269,0.10450061652281134,0.743421052631579,1.2600093493922895,1.0,0.02156423468309511,1.5979006607859876,0.24010614390370866,0.16691285081240767,0.3741788682231896,0.460268520046197
"frozenset({'高密度脂蛋白_Low', '总三碘甲状腺原氨酸_Low', 'Dept_内分泌代谢科'})",frozenset({'糖化血红蛋白_High'}),0.08045622688039457,0.5900123304562269,0.059802712700369916,0.7432950191570882,1.259795737798116,1.0,0.012332546778953388,1.597116145536191,0.22426395623308717,0.09793033821302373,0.3738714602598451,0.42232671543016376
"frozenset({'钠_High', '氯_High', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.06843403205918619,0.5900123304562269,0.05086313193588163,0.7432432432432432,1.2597079838459146,1.0,0.01048620919812504,1.5967940813810106,0.22131039046988749,0.0837138508371385,0.3737451737451736,0.41472506989748364
"frozenset({'低密度脂蛋白_High', '氯_High', '葡萄糖_High'})","frozenset({'Dept_内分泌代谢科', '糖化血红蛋白_High'})",0.14734895191122072,0.563193588162762,0.10450061652281134,0.7092050209205021,1.2592562057285763,1.0,0.021514631583908678,1.50211125797266,0.2414591851752315,0.17243133265513733,0.3342703513522292,0.44737755151115416
"frozenset({'总胆固醇_High', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.1846485819975339,0.5900123304562269,0.13717632552404438,0.7429048414023373,1.2591344333903771,1.0,0.028231385344241702,1.594692299069611,0.2524109513391814,0.21518375241779494,0.3729197785783323,0.48770111453606935
"frozenset({'高密度脂蛋白_Low', '低密度脂蛋白_High', '骨钙素(N-MID)_Low'})","frozenset({'Dept_内分泌代谢科', '葡萄糖_High', '糖化血红蛋白_High'})",0.10881627620221948,0.44790382244143034,0.061344019728729965,0.5637393767705383,1.2586170256322273,1.0,0.012604793673913407,1.2655191602478904,0.23056653033413346,0.12383322962041071,0.20981046244758586,0.35034869733227536
"frozenset({'Dept_内分泌代谢科', '尿酸_High'})","frozenset({'高密度脂蛋白_Low', '葡萄糖_High'})",0.12299630086313193,0.4978421701602959,0.07706535141800247,0.6265664160401003,1.2585643675752851,1.0,0.01583260607461219,1.3447045242016238,0.23425659050966618,0.1417233560090703,0.2563422060368849,0.39068258882500373
"frozenset({'高密度脂蛋白_Low', '低密度脂蛋白_High', '骨钙素(N-MID)_Low', 'Dept_内分泌代谢科'})","frozenset({'葡萄糖_High', '糖化血红蛋白_High'})",0.10388409371146733,0.469482120838471,0.061344019728729965,0.5905044510385756,1.2577783579574127,1.0,0.012572295091687814,1.2955400382422846,0.2287063110530292,0.11980734497290789,0.22812111514766956,0.3605838079224395
